cleaned_position,new_position
Business Operations and Website Development Internship Mentorship,Business Operations and Website Development Internship Mentorship
Business Pitch Deck Presenter,Business Pitch Deck Presenter
Business Plan for a Ride Share App,Business Plan for a Ride Share App
Business Plan Proposal Writer,Business Plan Proposal Writer
Business Process Solution,Business Process Solution
Business Processing Outsource Expert,Business Processing Outsource Expert
Business Program Manager,Business Program Manager
Business Reporter English,Business Reporter English
Business Skill Trainer,Business Skill Trainer
Business Software,Business Software
Business Teachers,Business Teacher
Business Teachers for Secondary School,Business Teacher for Secondary School
Butchers and Meat Cutters,Butcher
Butchers Fishmongers and Related Food Preparers,Butcher
Butchery,Butcher
"Buyers and Purchasing Agents, Farm Products","Buyer and Purchasing Agent, Farm Products"
C Programmer,C Programmer
C++ and python developer,C++ and Python Developer
C++ Blender Unity Revit Developer,C++ Blender Unity Revit Developer
Cabinet Secretariat,Cabinet Secretariat
Cabinetmakers and Bench Carpenters,Cabinetmaker
Cable Installer,Cable Installer
Cable Transport Development,Cable Transport Development
CAD and CAM Designer,CAD and CAM Designer
CAD Designer and CNC operator,CAD Designer and CNC Operator
CAD designer for CNC machine,CAD Designer for CNC Machine
Cad Drawing Cam working Macbine operator,CAD Drawing CAM Working Machine Operator
CAD Expert,CAD Expert
cad technician,CAD Technician
Cadastral Survey,Cadastral Survey
Cadastral System and Land Technology Supply and Management,Cadastral System and Land Technology Supply and Management
Cadastre Network Security and Administration,Cadastre Network Security and Administration
Cadastre System Security and Administrator,Cadastre System Security and Administrator
CafÃ© / Dietary Head,Café / Dietary Head
cafe waitress,Cafe Waitress
Cajon or percession player,Cajon Player
Cake and Pastry Preparation,Cake and Pastry Preparation
Calibration Technologists and Technicians,Calibration Technologist
Call Center,Call Center Representative
Call Center & Customers services in Afaan Oromoo,Call Center Representative
Call Center and Data Management,Call Center and Data Management
Call center attendant,Call Center Attendant
Call Center Chief Operating Officer (CCOO),Call Center Chief Operating Officer
Call Center Manager,Call Center Manager
Call center operations manager,Call Center Operations Manager
call center operator,Call Center Operator
Call center operators and customer service officers,Call Center Operator
Call Center Representative,Call Center Representative
Call Center Solution Provider,Call Center Solution Provider
call center solution provier,Call Center Solution Provider
Call Center Superivisor,Call Center Supervisor
call center supervisor,Call Center Supervisor
Call Center/Account agent,Call Center Agent
call centre agent,Call Center Agent
Call centre agent and telemarketer,Call Center Agent
Camcorder TV (Fulm),Camcorder Operator
Camel Breeding Team,Camel Breeding Team
Camera,Camera Operator
Camera and Photographic Equipment Repairers,Camera and Photographic Equipment Repairer
Camera and Video Editor,Camera and Video Editor
Camera Attendant,Camera Attendant
camera expert,Camera Expert
Camera Operator,Camera Operator
Camera Operator and Photo Editor,Camera Operator and Photo Editor
Camera Operator and Social Media Officer,Camera Operator and Social Media Officer
"Camera Operators, Television, Video, and Film",Camera Operator
cameraman and editor,Cameraman and Editor
"cameraman, video editor, reporter, business and economy programmer, news producer",Cameraman and Editor
cameraman/video editor/graphics designer,Cameraman and Editor
Camp Administrator,Camp Administrator
Camp Administrator and Security Officer,Camp Administrator and Security Officer
Camp and Facility Manager,Camp and Facility Manager
Campus Aesthetics and Park,Campus Aesthetics and Park
Campus Aesthetics and Sanitation,Campus Aesthetics and Sanitation
Campus and Office Service Team Leader,Campus and Office Service Team Leader
Campus Coordinator,Campus Coordinator
Campus Police,Campus Police
Campus Security Information Monitoring Team,Campus Security Information Monitoring Team
Campus Traffic,Campus Traffic
can make chinese food,Chinese Food Cook
Cancer Treatment,Cancer Treatment
Candidate Engagement and Partnership Coordinator,Candidate Engagement and Partnership Coordinator
Candidate Engagement and Partnership Manager,Candidate Engagement and Partnership Manager
Candidate Engagement and Partnership Officer,Candidate Engagement and Partnership Officer
Canteen Attendant,Canteen Attendant
Canva designer,Canva Designer
Capacity Building,Capacity Building Officer
Capacity Building and Communication Officer,Capacity Building and Communication Officer
Capacity Building Officer,Capacity Building Officer
CAPI Household Listing Operation (CHLO),CAPI Household Listing Operation (CHLO)
CAPI Main & Parallel Surveys (MPS),CAPI Main & Parallel Surveys (MPS)
Capital Goods Contract Agreement and Lease Registration Expert,Capital Goods Contract Agreement and Lease Registration Expert
Capital Logistics Manager,Capital Logistics Manager
"Captains, Mates, and Pilots of Water Vessels","Captains, Mates, and Pilots of Water Vessels"
Car Alarm Electrician,Car Alarm Electrician
Car Assembly Shift Supervisor,Car Assembly Shift Supervisor
car attendant,Car Attendant
car body worker,Car Body Worker
Car driving trainer,Car Driving Trainer
Car Sales Executives,Car Sales Executive
car seat clothes wide,Car Seat Clothes Wide
Car Technician,Car Technician
Car wash attendant &driver,Car Wash Attendant and Driver
Carbon Development and Management Expert,Carbon Development and Management Expert
Carbon Finance,Carbon Finance Officer
Carbon Market Development,Carbon Market Development Officer
Card Banking Officer,Card Banking Officer
Card Personalization Services Officer ( Contract Months ),Card Personalization Services Officer
Cardiac Surgery,Cardiac Surgeon
Cardiologist,Cardiologist
Cardiologists,Cardiologist
Cardiology,Cardiologist
Cardiovascular Nurse,Cardiovascular Nurse
Cardiovascular Perfusion,Cardiovascular Perfusionist
cardiovascular technologists and technicians,Cardiovascular Technologist
Care and Support Officer,Care and Support Officer
Care Desk Experience Executive,Care Desk Experience Executive
care economy,Care Economy Specialist
Career & Technical Education Teacher for Primary,Career and Technical Education Teacher for Primary
Career and Technical Education Teachers,Career and Technical Education Teacher
career development,Career Development Officer
Career Proposal Preparer,Career Proposal Preparer
"career/technical education teachers, middle school","Career and Technical Education Teacher, Middle School"
"career/technical education teachers, postsecondary","Career and Technical Education Teacher, Postsecondary"
"career/technical education teachers, secondary school","Career and Technical Education Teacher, Secondary School"
cargo and freight agents,Cargo and Freight Agent
CARGO DELIVERY & LOGISTICS MANAGER,Cargo Delivery and Logistics Manager
Carnival game provider,Carnival Game Provider
carpenter,Carpenter
Carpentry,Carpenter
Carpentry Workshop Project Manager,Carpentry Workshop Project Manager
carpet and tapestry technician,Carpet and Tapestry Technician
carpet cleaner,Carpet Cleaner
carpet installers,Carpet Installer
Carpet Supplier,Carpet Supplier
carrom and pool player,Carrom and Pool Player
cartographers and photogrammetrists,Cartographer and Photogrammetrist
"Carton boxes printing, folder gluer machines operator or",Carton Box Printing Machine Operator
Carton Factory Manager,Carton Factory Manager
"Cartons boxes printing, folder gluer machines operator OR carton boxes and folder gluer machine operator.",Carton Box Printing Machine Operator
cartoon / animation design,Cartoon and Animation Designer
cartoon artist,Cartoon Artist
Carve Stone Operator,Carve Stone Operator
CASCADE,CASCADE
Case / Social,Case Social Worker
case executive,Case Executive
Case Executive,Case Executive
case executor and legal assistant,Case Executor and Legal Assistant
Case Manager,Case Manager
Cash & Market,Cash and Market Officer
Cash and Carry Store Manager,Cash and Carry Store Manager
Cash and food Monitoring officer,Cash and Food Monitoring Officer
Cash and Voucher Assistance Information Management Officer (Re-Advertised),Cash and Voucher Assistance Information Management Officer
Cash collector,Cash Collector
Cash Digital Systems Business Unit Head,Cash Digital Systems Business Unit Head
Cash Handler,Cash Handler
cash management division head,Cash Management Division Head
Cash Management Officer,Cash Management Officer
CASH Program Coordinator,Cash Program Coordinator
Cash Transfer Programming Manger - (Re-advertisement),Cash Transfer Programming Manager
"Cash, Market & EWEA Technical Advisor","Cash, Market and EWEA Technical Advisor"
CASH-BASED INTERVENTIONS TECHNICAL ADVISOR (Re-advertisement),Cash-Based Interventions Technical Advisor
Casher,Cashier
Cashier,Cashier
Cashier - Maternity Cover,Cashier
Cashier / Secretary / KG Teachers,Cashier
Cashier + stock controller,Cashier and Stock Controller
cashier and customer service agent for betting,Cashier and Customer Service Agent
Cashier and Data encoder,Cashier and Data Encoder
cashier and stock controller,Cashier and Stock Controller
Cashier at Sport and Virtual Games Betting Shop,Cashier
Cashier Secretary,Cashier Secretary
Cashier using cenet software,Cashier
Cashier who knows accounting,Cashier
Cashier/Administrative,Cashier and Administrative Assistant
Cashier/receptionist at restaurant,Cashier and Receptionist
cashiers,Cashier
Casting agent,Casting Agent
Casting and Location Manager,Casting and Location Manager
Castle entertainment internet cafe,Internet Cafe Attendant
casual work,Casual Worker
cataloger,Cataloger
cataloging and classification worker,Cataloging and Classification Worker
cataract surgeon,Cataract Surgeon
Category Manager,Category Manager
Category Manager Business Services,Category Manager
catering,Catering
Catering Event Manager,Catering Event Manager
CBE agent,CBE Agent
CBE birr,CBE Birr Operator
CBE Birr Operator,CBE Birr Operator
CCCM Project Coordinator,CCCM Project Coordinator
CCM/E Engagement & Coordination Officer,CCM/E Engagement & Coordination Officer
CCNP data center management,CCNP Data Center Management
CCR Operator,CCR Operator
CCTV and Access Control Installer,CCTV and Access Control Installer
