Informal Works in English,Profession  in Amharic,Professional / Informal,sector,sub sector
Clerk accountant & ጉዳይ አስጨራሽ,ጸሐፊ አካውንታንት እናጉዳይ አስጨራሽ,p,,
Clerk and client service,ጸሐፊ እና የደንበኛ አገልግሎት,P,,
Client administrator,የደንበኛ አስተዳዳሪ,P,,
Client relation and accaunt manager,የደንበኛ ግንኙነት እና መለያ አስተዳዳሪ,P,,
Client Relationship Management Officer III,የደንበኛ ግንኙነት አስተዳደር ኦፊሰር III,P,,
"Climate Adaptation, Environment & Energy Technical Manager",የአየር ንብረት መላመድ፣ አካባቢ እና ኢነርጂ ቴክኒካል አስተዳዳሪ,P,,
Climate Change Advisor,የአየር ንብረት ለውጥ አማካሪ,P,,
Climate Change & Environmental Project Coordinator,የአየር ንብረት ለውጥ እና የአካባቢ ፕሮጀክት አስተባባሪ,P,,
Climatologist,የአየር ንብረት ባለሙያ,P,,
"Clinical, Cardiac or Emergency Medicine Nurse",ክሊኒካዊ፣ የልብ ወይም የድንገተኛ ህክምና ነርስ,P,,-
Clinical Chief Officer,የክሊኒካል ዋና ኦፊሰር,P,,
Clinical Director,ክሊኒካል ዳይሬክተር,P,,
Clinical laboratory technician,ክሊኒካዊ የላቦራቶሪ ቴክኒሻን,P,,
Clinical Mental Health and Psychosocial Officer,ክሊኒካል የአእምሮ ጤና እና ሳይኮሶሻል ኦፊሰር,P,,
Clinical nurse for dental clinic,ለጥርስ ሕክምና ክሊኒካዊ ነርስ,P,,-
Clinical Nutritionist,ክሊኒካዊ የአመጋገብ ባለሙያ,P,,
Clinical Officer,ክሊኒካዊ መኮንን,P,,
Clinical pharmacist,ክሊኒካል ፋርማሲስት,P,,
Clinical Service Advisor,ክሊኒካዊ አገልግሎት አማካሪ,P,,
Cloth and fashion product seller,የጨርቅ እና ፋሽን ምርት ሻጭ,P,,
Cloth desgin teacher,የጨርቃ ጨርቅ መምህር,P,,
Cloth designer,የጨርቅ ንድፍ አውጪ,P,,
Clothing Printer,የልብስ ማተሚያ,P,,
Clothing sewing (ልብስ ሰፊ),የልብስ ስፌት (ልብስ ሰፊ),P,,
Cloud and Core Systems Engineer,የክላውድ እና ኮር ሲስተምስ መሐንዲስ,P,,
Cloud Test and Operations Engineer,የደመና ሙከራ እና ኦፕሬሽን መሐንዲስ,P,,
Club / Lounge DJ,ክለብ / ላውንጅ ዲጄ,P,,
Cluster Apiculture Development Officer,ክላስተር የንብ ማነብ ልማት ኦፊሰር,P,,
Cluster Coordinator R4 Project,የክላስተር አስተባባሪ R4 ፕሮጀክት,P,,
Cluster Credit Manager,የክላስተር ክሬዲት አስተዳዳሪ,P,,
Cluster Enterprise Development Officer,ክላስተር ኢንተርፕራይዝ ልማት ኦፊሰር,P,,
Cluster Finance and Operations Officer,የክላስተር ፋይናንስ እና ኦፕሬሽን ኦፊሰር,P,,
Cluster & Forum Coordinator,ክላስተር እና መድረክ አስተባባሪ,P,,
CMAM SUPERVISOR,የCMAM ተቆጣጣሪ,P,,
CNC machine bed designs 2d and 3d,የ CNC ማሽን አልጋ ንድፍ 2 ዲ እና 3 ዲ,P,,
Cnc machine expert,የ Cnc ማሽን ባለሙያ,P,,
CNC machine operator,የ CNC ማሽን ኦፕሬተር,P,,
CNC Machine Operator & Designer,የ CNC ማሽን ኦፕሬተር እና ዲዛይነር,P,,
Co2 Laser Cutter Machine Expert,Co2 ሌዘር መቁረጫ ማሽን ባለሙያ,P,,
Co2 Welder,Co2 Welder,P,,
Coach Bus Operations Manager,የአውቶቡስ ኦፕሬሽን ሥራ አስኪያጅ,P,,
COC Trainer/አሰልጣኝ,የ COC አሰልጣኝ/አሰልጣኝ,P,,
"COC trainer Accounting level 2, 3 and 4",የCOC አሰልጣኝ የሂሳብ አያያዝ ደረጃ 2፣ 3 እና 4,,,
Codeigniter and Ionic Frame work Developer,Codeigniter እና Ionic Frame ሥራ ገንቢ,P,,
Coder and Content Creator Paid Internship,ኮድደር እና የይዘት ፈጣሪ የሚከፈልበት ልምምድ,P,,
Coding Instractor,ኮድ አስተማሪ,P,,
Co facilitator and Observer,ተባባሪ አስተባባሪ እና ታዛቢ,P,,
Coffee Agronomist,የቡና አግሮኖሚስት,P,,
Coffee Export Documentation Officer,የቡና ኤክስፖርት ሰነድ ኦፊሰር,P,,
coffee export manager,የቡና ኤክስፖርት ሥራ አስኪያጅ,P,,
Coffee Laboratory & Quality Control Assistant,የቡና ላቦራቶሪ እና የጥራት ቁጥጥር ረዳት,P,,
Coffee Logistics Officer,የቡና ሎጂስቲክስ ኦፊሰር,P,,
Coffee Marketing and Livelihood Facilitator,የቡና ግብይት እና መተዳደሪያ አመቻች,P,,
Coffee Quality Control,የቡና ጥራት ቁጥጥር,P,,
Coffee Washing Station Head,የቡና ማጠቢያ ጣቢያ ኃላፊ,P,,
"Collaborating, Learning, and Adapting (CLA) Director, USAID Ethiopia Resilience Learning Activity (RLA)",የትብብር፣ የመማር እና የማላመድ (CLA) ዳይሬክተር የዩኤስኤአይዲ የኢትዮጵያ የመቋቋም ትምህርት እንቅስቃሴ (RLA),P,,
"Collaborating, Learning and Adapting (CLA) Lead",መተባበር፣ መማር እና ማላመድ (CLA) መሪ,P,,
"Collaborating, Learning and Adapting (CLA) Specialist",ትብብር፣ መማር እና ማላመድ (CLA) ስፔሻሊስት,P,,
Collaboration Solutions Engineer,የትብብር መፍትሄዎች መሐንዲስ,P,,
Collateral Registration Officer (Head Office),የዋስትና ምዝገባ ኦፊሰር,P,,
Collateral Valuation Expert - Mechanical Engineer,የዋስትና ዋጋ ኤክስፐርት - ሜካኒካል መሐንዲስ,P,,
Collection and Disbursement head,የስብስብ እና ወጪ ኃላፊ,P,,
College Academic Supporting Staff,የኮሌጅ አካዳሚክ ድጋፍ ሰጭ ሰራተኞች,P,,
College application advisor,የኮሌጅ ማመልከቻ አማካሪ,P,,
College application and customer service,የኮሌጅ ማመልከቻ እና የደንበኞች አገልግሎት,P,,
College Application Manager,የኮሌጅ ማመልከቻ አስተዳዳሪ,P,,
College Application Manager/Application Team Leader,የኮሌጅ ማመልከቻ አስተዳዳሪ/የመተግበሪያ ቡድን መሪ,P,,
College Librarian,የኮሌጅ ላይብረሪያን,P,,
College Registrar,የኮሌጅ ሬጅስትራር,P,,
College Trainee – Engineering,የኮሌጅ ሰልጣኝ - ምህንድስና,P,,
College Trainee-Human Resource Management/HRM,የኮሌጅ ሰልጣኝ-የሰው ሃብት አስተዳደር/HRM,P,,
College Trainee – Marketing Officer,የኮሌጅ ሰልጣኝ - የግብይት ኦፊሰር,P,,
College Vice-Dean,የኮሌጅ ምክትል ዲን,P,,
Comedian for Youtube Videos,ኮሜዲያን ለ Youtube ቪዲዮዎች,P,,
Comedian / Joke Writer,ኮሜዲያን / ቀልድ ጸሐፊ,P,,
"Comedian TV, Stage and Youtube Channels",የኮሜዲያን ቲቪ፣ መድረክ እና የዩቲዩብ ቻናሎች,P,,
Comercial Department Assistance,የንግድ መምሪያ እርዳታ,P,,
Comic book story developer (Afaan Oromo),የቀልድ መጽሐፍ ታሪክ አዘጋጅ (እንግሊዝኛ),P,,
Commercial and Apartment building Supervisor,የንግድ እና አፓርትመንት ሕንፃ ተቆጣጣሪ,P,,
Commercial / Apartment Building Manager and finance,የንግድ / አፓርታማ ግንባታ ሥራ አስኪያጅ እና ፋይናንስ,P,,
Commercial Capability and Development Manager,የንግድ አቅም እና ልማት ሥራ አስኪያጅ,P,,
Commercial Contract Officer,የንግድ ውል ኦፊሰር,P,,
Commercial Finance Manager,የንግድ ፋይናንስ አስተዳዳሪ,P,,
Commercial Manager at Terra LAB,በ Terra LAB ላይ የንግድ ሥራ አስኪያጅ,P,,
Commercial Market Development Manager,የንግድ ገበያ ልማት ሥራ አስኪያጅ,P,,
Commercial & Marketing Manager,የንግድ እና ግብይት አስተዳዳሪ,P,,
Commercial Services Lead- Maternity Network,የንግድ አገልግሎቶች መሪ- የወሊድ አውታረመረብ,P,,
Commision worker,የኮሚሽኑ ሰራተኛ,P,,
Commission Agent,የኮሚሽኑ ወኪል,P,,
Commission Based Intern Program,በኮሚሽን ላይ የተመሰረተ የውስጥ ፕሮግራም,P,,
Commission based marketer,በኮሚሽኑ ላይ የተመሰረተ ገበያተኛ,P,,
Commissioned Sales & Marketing Officer,የተሾመ የሽያጭ እና ግብይት ኦፊሰር,P,,
commissioning business biology/chemistry,የኮሚሽን ንግድ ባዮሎጂ / ኬሚስትሪ,P,,
Commodity Accountant and Stock Controller,የሸቀጦች አካውንታንት እና የአክሲዮን ተቆጣጣሪ,P,,
Commodity and Agricultural Input Supplies Supervisor FO,የሸቀጦች እና የግብርና ግብአት አቅርቦት ተቆጣጣሪ FO,P,,
Commodity and Compliance and Monitoring Officer,የሸቀጦች እና ተገዢነት እና ክትትል ኦፊሰር,P,,
Commodity & Logistics Team Lead FO,የምርት እና ሎጂስቲክስ ቡድን መሪ FO,P,,
Commodity Reporting and Systems Tracking Senior Officer (CRSTO),የሸቀጦች ሪፖርት አቀራረብ እና የስርዓቶች ክትትል ከፍተኛ ኦፊሰር (CRSTO),P,,
Commodity Risk and Compliance Officer,የሸቀጦች ስጋት እና ተገዢነት ኦፊሰር,P,,
Commodity Transfer Officer,የሸቀጦች ዝውውር ኦፊሰር,P,,
Common App Essay Writer,የጋራ መተግበሪያ ድርሰት ጸሐፊ,P,,
Communication and Advocacy Senior Expert,የግንኙነት እና ጥብቅና ከፍተኛ ባለሙያ,P,,
Communication and Database expert,የግንኙነት እና የውሂብ ጎታ ባለሙያ,P,,
Communication and Digital Marketing Officer,የመገናኛ እና የዲጂታል ግብይት ኦፊሰር,P,,
Communication and Documentation Officer,የግንኙነት እና ሰነዶች ኦፊሰር,P,,
Communication and Fundraising Campaign Strategist,የግንኙነት እና የገንዘብ ማሰባሰብ ዘመቻ ስትራቴጂስት,P,,
Communication and Knowledge Management Officer,የመገናኛ እና የእውቀት አስተዳደር ኦፊሰር,P,,
Communication and Marketing specialist,የግንኙነት እና የግብይት ባለሙያ,P,,
Communication and Media Coordinator,የመገናኛ እና የመገናኛ ብዙሃን አስተባባሪ,P,,
Communication and Partnership Officer,የግንኙነት እና አጋርነት ኦፊሰር,P,,
Communication and public relations volunteer,የኮሚዩኒኬሽን እና የህዝብ ግንኙነት በጎ ፈቃደኛ,P,,
Communication and public relation voluntary,ግንኙነት እና የህዝብ ግንኙነት በፈቃደኝነት,P,,
Communication and Public relation Volunteer,የኮሚዩኒኬሽን እና የህዝብ ግንኙነት በጎ ፈቃደኞች,P,,
Communication & CSR Officer,ኮሙኒኬሽን እና CSR ኦፊሰር,P,,
"Communication, External Relation, & Advocacy Manager",የግንኙነት፣ የውጭ ግንኙነት እና የጥብቅና ስራ አስኪያጅ,P,,
Communication Lead,የግንኙነት መሪ,P,,
Communication & Multimedia Expert,የግንኙነት እና የመልቲሚዲያ ባለሙያ,P,,
Communication Officer Intern (Unpaid Internship),የኮሙኒኬሽን ኦፊሰር intern (ያልተከፈለ ልምምድ),P,,
COMMUNICATIONS AND ADVOCACY ADVISOR,የግንኙነት እና የጥብቅና አማካሪ,P,,
Communications and Operation Manager,የግንኙነት እና ኦፕሬሽን ሥራ አስኪያጅ,P,,
Communications & Marketing Specialist,ኮሙኒኬሽን እና ግብይት ስፔሻሊስት,P,,
Communications officer,የመገናኛ ኦፊሰር,P,,
Communications Officer Internship,የኮሙኒኬሽን ኦፊሰር ልምምድ,P,,
Communications & Partnership Manager,የግንኙነት እና አጋርነት አስተዳዳሪ,P,,
Community Accountability Reporting Mechanism (CARM) officer,የማህበረሰብ ተጠያቂነት ሪፖርት አቀራረብ ሜካኒዝም (CARM) መኮንን,P,,
Community Activity Officer,የማህበረሰብ እንቅስቃሴ ኦፊሰር,P,,
Community Animator,የማህበረሰብ አኒሜተር,P,,
Community Based Facilitators (CBF) – Agriculture,በማህበረሰብ ላይ የተመሰረተ አመቻቾች (CBF) - ግብርና,P,,
Community Based socio-therapy (CBS) Project Officer,በማህበረሰብ ላይ የተመሰረተ ሶሺዮ-ቴራፒ (ሲቢኤስ) ፕሮጀክት ኦፊሰር,P,,
Community Contact & Feedback Operator Afan Orormo-4 months maternity cover,የማህበረሰብ ግንኙነት እና ግብረመልስ ኦፕሬተር እንግሊዝኛ-4 ወራት የወሊድ ሽፋን,P,,
Community Development facilitator,የማህበረሰብ ልማት አመቻች,P,,
Community Development Facilitator (CDF)- for Sustainable Food Security Project,የማህበረሰብ ልማት አመቻች (ሲዲኤፍ) - ለዘላቂ የምግብ ዋስትና ፕሮጀክት,P,,
Community Development Manager & Growth Hacker,የማህበረሰብ ልማት አስተዳዳሪ እና የእድገት ጠላፊ,P,,
Community Engagement and Sponsorship Project Officer,የማህበረሰብ ተሳትፎ እና የስፖንሰርሺፕ ፕሮጀክት ኦፊሰር,P,,
Community Engagement & Development (CED) Officer- Maternity Cover,የማህበረሰብ ተሳትፎ እና ልማት (ሲኢዲ) ኦፊሰር - የወሊድ ሽፋን,P,,
Community Engagement Facilitators,የማህበረሰብ ተሳትፎ አመቻቾች,P,,
Community fieldworkers: Ethnographic study on maternity health service utilization in pastoralist settings,የማህበረሰቡ የመስክ ሰራተኞች፡- በአርብቶ አደር አካባቢዎች የእናቶች ጤና አገልግሎት አጠቃቀምን በተመለከተ የኢትኖግራፊ ጥናት,P,,
Community Health Worker,የማህበረሰብ ጤና ሰራተኛ,P,,
"Community Mobilisation, Public Awareness and Communication Officer (CMPAO)",የማህበረሰብ ንቅናቄ፣ የህዝብ ግንዛቤ እና ኮሙኒኬሽን ኦፊሰር (CMPAO),P,,
Community Mobilization and Surveillance Specialist,የማህበረሰብ ንቅናቄ እና ክትትል ስፔሻሊስት,P,,
"Community Mobilizer, EHF Project /Afar region, Teru Woreda",የማህበረሰብ ንቅናቄ፣ የኢ.ኤች.ኤፍ ፕሮጀክት/አፋር ክልል፣ ቴሩ ወረዳ,P,,
Community Mobilizer – Mental Health and Nutrition Team (MHNT) Reports to Medical Officer,የማህበረሰብ አነቃቂ - የአእምሮ ጤና እና የአመጋገብ ቡድን (MHNT) ለህክምና መኮንን ሪፖርቶች,P,,
Community Nutrition Emergency Preparedness and Response Advisor,የማህበረሰብ አመጋገብ የአደጋ ጊዜ ዝግጁነት እና ምላሽ አማካሪ,P,,
Community Service Attendant,የማህበረሰብ አገልግሎት ረዳት,P,,
Community Services Officer,የማህበረሰብ አገልግሎት ኦፊሰር,P,,
Community Volunteering/ Medical Services,የማህበረሰብ በጎ ፈቃደኛ/የህክምና አገልግሎት,P,,
Community Wellbeing Initiative (CWI) Manager,የማህበረሰብ ደህንነት ተነሳሽነት (CWI) አስተዳዳሪ,P,,
Community Well-being Initiative (CWI) Officer,የማህበረሰብ ደህንነት ተነሳሽነት (CWI) ኦፊሰር,P,,
Compacting Equipment Operator D.2,የታመቀ መሣሪያ ኦፕሬተር D.2,,,
Company Coordinator,የኩባንያ አስተባባሪ,P,,
Company Logo,የኩባንያ አርማ,U,,
company Manager,የኩባንያው ሥራ አስኪያጅ,P,,
Company Messenger,ኩባንያ Messenger,P,,
Company Messenger & Outdoor Sales,የኩባንያው ሜሴንጀር እና የውጪ ሽያጭ,P,,
Company model and marketers,የኩባንያ ሞዴል እና ገበያተኞች,P,,
Company profile creator,የኩባንያ መገለጫ ፈጣሪ,P,,
Company profile developer,የኩባንያ መገለጫ ገንቢ,P,,
Company promoter,የኩባንያ አራማጅ,P,,
Company Sales Representative,የኩባንያ ሽያጭ ተወካይ,P,,
Company Secretary,የኩባንያው ጸሐፊ,P,,
company stationary design and printing,የኩባንያው ቋሚ ዲዛይን እና ማተም,P,,
Compensation And Benefits Specialist,የማካካሻ እና ጥቅማ ጥቅሞች ስፔሻሊስት,P,,
Compensation & Benefits Officer,የካሳ እና ጥቅሞች ኦፊሰር,P,,
Compensations and Benefits Head,ማካካሻዎች እና ጥቅሞች ኃላፊ,P,,
Compliance and Risk Manager,ተገዢነት እና ስጋት አስተዳዳሪ,P,,
Compliance Coordinator,ተገዢነት አስተባባሪ,P,,
Compliance Coordinator (WFP-Gambella),ተገዢነት አስተባባሪ WFP,P,,
Compliance Monitoring Specilaist,ተገዢነት ክትትል ስፔሻሊስት,P,,
Compliance officer,ተገዢነት መኮንን,P,,
Compliance Officer I (Head Office),ተገዢነት ኦፊሰር I (ዋና መሥሪያ ቤት),P,,
