informal work in eng,Profession in Amharic,professional/ formal,sector,sub sector
Organization Design & Change Management Officer II,የድርጅት ዲዛይን እና ለውጥ አስተዳደር ኦፊሰር II,P,Service,Consulting service around social science
Organization Development and Stakeholders Engagement Officer,የድርጅት ልማት እና ባለድርሻ አካላት ተሳትፎ ኦፊሰር,P,Service,Consulting service around social science
Organizational Budget Preparation & Control Expert,ድርጅታዊ በጀት ዝግጅት እና ቁጥጥር ባለሙያ,P,Service,Accounting audit and adminstrative works
Organizational Business Development (OBD) Officer,ድርጅታዊ የንግድ ልማት (ኦቢዲ) ኦፊሰር,P,Service,Business Promotion Service
Organizational Development and Management Advisor,ድርጅታዊ ልማት እና አስተዳደር አማካሪ,P,Service,Consulting service around social science
Organizational Transformation Director,ድርጅታዊ ትራንስፎርሜሽን ዳይሬክተር,P,Service,Consulting service around social science
Original Article Writer,ዋናው ጽሑፍ ጸሐፊ,P,Tourism and art,Journalism
Oromiffa Localization and Translation expert,የኦሮሚፋ የአካባቢ እና የትርጉም ባለሙያ,P,Service,Other services
Oromiffa Phone Call Support,Oromiffa የስልክ ጥሪ ድጋፍ,U,Service,Other services
Oromiffa podcats host,Oromiffa podcats አስተናጋጅ,U,Tourism and art,Journalism
Orphan and Vulnerable Children Service (OVC) Director,ወላጅ አልባ እና ተጋላጭ ህጻናት አገልግሎት (OVC) ዳይሬክተር,P,,
Orthodox Mezmur Video Editor,OrthodoxMezmurየቪዲዮ አዘጋጅ,P,,
orthopedist,ኦርቶፔዲስት,P,,
OTN Local Engineer,OTN የአካባቢ መሐንዲስ,P,,
OTP/SC nurse (2x),OTP/SC ነርስ,P,,
Out door tiling work,ከቤት ውጭ የበር ንጣፍ ሥራ,U,,
Out Source Mechanic,የውጭ ምንጭ መካኒክ,P,,
Outcome Assessment Research Assistant (OA-RA,የውጤት ምዘና ምርምር ረዳት,P,,
Outdoor Photographer,የውጪ ፎቶ አንሺ,P,,
Outdoor Regional Telebirr Supervisor,የውጪ ክልል ቴሌቢር ተቆጣጣሪ,P,,
Outdoor Telebirr Sales,የውጪ ቴሌቢር ሽያጭ,P,,
Outlet Manager,የመውጫ አስተዳዳሪ,P,,
Outlet Supervisor,መውጫ ተቆጣጣሪ,P,,
Outlet Team Leader,የውጤት ቡድን መሪ,P,,
Outreach Clinical Officer,የውጭ ክሊኒካዊ ኦፊሰር,P,,
Outreach Driver Agent,የማስተላለፊያ ሹፌር ወኪል,P,,
Outreach Team Leader,የማስተላለፊያ ቡድን መ,P,,
Outreach Worker,የማስተላለፊያ ሠራተኛ,P,,
OUTSOURCED ICT SERVICE PROVIDER,ከውጪ የተገኘ የአይሲቲ አገልግሎት አቅራቢ,P,,
OV Surveys & Entomology Specialist (Senior Health Program Specialist),የኦቪ ዳሰሳ እና የኢንቶሞሎጂ ባለሙያ (የከፍተኛ የጤና ፕሮግራም ባለሙያ),P,,
OVC and HIV Care and Treatment Program Manager,የኦቪሲ እና የኤችአይቪ እንክብካቤ እና ህክምና ፕሮግራም አስተዳዳሪ,P,,
OVC Care & Support Officer,የኦቪሲ እንክብካቤ እና ድጋፍ ኦፊሰር,P,,
OVC Health Linkage Referral Coordinator,OVC የጤና ትስስር ሪፈራል አስተባባሪ,P,,
OVC Livelihood and Gender Development Officer,OVC የኑሮ እና የሥርዓተ-ፆታ ልማት ኦፊሰር,P,,
OVC Service Specialist,OVC አገልግሎት ስፔሻሊስት,P,,
OVC_ Health Linkage Referral Coordinator,OVC_ የጤና ትስስር ሪፈራል አስተባባሪ,P,,
Overhead Crane Operator,በላይኛው ክሬን ኦፕሬተር,P,,
Overnight Shift Call Center Agent,የአዳር Shift የጥሪ ማዕከል ወኪል,P,,
Ox horn supplier,የበሬ ቀንድ አቅራቢ,U,,
Packaging Designer,የማሸጊያ ንድፍ አውጪ,P,,
Packaging Machine Debugger,የማሸጊያ ማሽን አራሚ,P,,
Packaging Material Storekeeper,የማሸጊያ እቃዎች ማከማቻ ጠባቂ,P,,
Packaging Operator,የማሸጊያ ኦፕሬተር,P,,
Packaging Supervisor,የማሸጊያ ተቆጣጣሪ,P,,
Packing List writer,የማሸጊያ ዝርዝር ጸሐፊ,U,,
Packing Machine Operator,የማሸጊያ ማሽን ኦፕሬተር,P,,
PACS Developer,PACS ገንቢ,P,,
Intern journalist,የውስጥ ጋዜጠኛ,P,,
Laravel Developer,ላራቬል ገንቢ,P,,
PHP Laravel Developer,ፒኤችፒ ላራቭል ገንቢ,P,,
Paid intern programmer,የሚከፈልበት የተለማማጅ ፕሮግራም አውጪ,P,,
Paid Intern Social Media Manager & Graphics Designer,የሚከፈልበት የውስጥ ማህበራዊ ሚዲያ አስተዳዳሪ እና ግራፊክስ ዲዛይነር,P,,
Account Executive,የሂሳብ ሥራ አስፈፃሚ,P,,
Junior Trainee and Customer Service,ጀማሪ ሰልጣኝ እና የደንበኛ አገልግሎት,P,,
Architect & Interior Designer,አርክቴክት እና የውስጥ ዲዛይነር,P,,
Interior designers,የውስጥ ዲዛይነሮች,P,,
Psychologist,የሥነ ልቦና ባለሙያ,P,,
Social Media Manager,የማህበራዊ ሚዲያ አስተዳዳሪ,P,,
Content writer and Socialmedia manager,የማህበራዊ ሚዲያ,P,,
Paint and pattern design,የቀለም እና የንድፍ ንድፍ,U,,
Paint and Plastic Factory Manager,የቀለም እና የፕላስቲክ ፋብሪካ ሥራ አስኪያጅ,P,,
Paint artist,አርቲስት ቀለም መቀባት,U,,
Paint Production Division Manager,የቀለም ማምረቻ ክፍል ሥራ አስኪያጅ,P,,
Painting and Sketching Instructor,የስዕል እና ንድፍ አስተማሪ,P,,
Paints Production Manager,የቀለም ማምረቻ ሥራ አስኪያጅ,P,,
Pancake maker,የፓንኬክ ሰሪ,I,,
Paper Machin Operator,የወረቀት ማሽን ኦፕሬተር,P,,
Paramedic/ Emergency Medical Technician,ፓራሜዲክ/ የድንገተኛ ህክምና ቴክኒሽያን,P,,
Parent Outreach Specialist,የወላጅ ስምሪት ስፔሻሊስት,P,,
Parking attendant,የመኪና ማቆሚያ ረዳት,I,,
Chinese teacher,የቻይና መምህር,P,,
Dermatologist,የቆዳ ህክምና ባለሙያ,P,,
English teacher,የእንግሊዘኛ መምህር,P,,
French teacher,የፈረንሣይ መምህር,P,,
HR Facilitators,የሰው ኃይል አመቻቾች,P,,
Laundry Attendant,የልብስ ማጠቢያ ረዳት,I,,
Marketer/Promoter,ገበያተኛ/አስተዋዋቂ,P,,
Partner Experience Navigator (PEN) officer or Customer Service Officer,የአጋር ልምድ ናቪጌተር (PEN) መኮንን ወይም የደንበኛ አገልግሎት ኦፊሰር,P,,
Website Design and Development Project.,የድር ጣቢያ ዲዛይን እና ልማት ፕሮጀክት,P,,
Website Design project,የድር ጣቢያ ዲዛይን ፕሮጀክት,P,,
Partnership and Capacity Development Officer,አጋርነት እና አቅም ልማት ኦፊሰር,P,,
Partnership and Localization Advisor,የአጋርነት እና አካባቢያዊነት አማካሪ,P,,
"Partnership Development, Fundraising and Communications Director",የአጋርነት ልማት፣ የገቢ ማሰባሰብ እና የኮሙዩኒኬሽን ዳይሬክተር,P,,
Partnership Engagement Assistant,የአጋርነት ተሳትፎ ረዳት,P,,
Partnership Engagement Officer,የአጋርነት ተሳትፎ ኦፊሰር,P,,
Partnership Lead,የአጋርነት አመራር,P,,
Partnership Manager,አጋርነት አስተዳዳሪ,P,,
"Partnership, Communication and Governance Manager","አጋርነት, ኮሙኒኬሽን እና አስተዳደር አስተዳዳሪ",P,,
"Partnership, Grants & Communications Coordinator",ሽርክና፣ የእርዳታ እና የግንኙነት አስተባባሪ,P,,
Parts & service sales person,ክፍሎች እና አገልግሎት ሻጭ ሰው,P,,
Parts & Service Sales Representative (P.S.S.R.),ክፍሎች እና አገልግሎት ሽያጭ ተወካይ,P,,
Parts Engineer,ክፍሎች መሐንዲስ,P,,
Parts Sales Engineer,ክፍሎች የሽያጭ መሐንዲስ,P,,
Parts Sales Executive,ክፍሎች ሽያጭ አስፈጻሚ,P,,
Parts Tool Store Keeper,ክፍሎች መሣሪያ መደብር ጠባቂ,P,,
Neurologist,የነርቭ ሐኪም,P,,
Pharmacist,ፋርማሲስት,P,,
Pharmacist/drugist,ፋርማሲስት / ፋርማሲስት,P,,
Polish teacher,የፖላንድ መምህር,P,,
Passenger Application Tester,የመንገደኞች ማመልከቻ ፈታሽ,U,,
Passport owning facilitator,የፓስፖርት ባለቤትነት አመቻች,U,,
Pastoralist Community TB Project Manager,አርብቶ አደር ማህበረሰብ ቲቢ ፕሮጀክት ስራ አስኪያጅ,P,,
Patient Identification Officer,የታካሚ መታወቂያ መኮንን,U,,
Patient registration and cash handling,የታካሚ ምዝገባ እና የገንዘብ አያያዝ,U,,
Pavement / Materials Engineer,ፔቭመንት / ቁሳቁስ መሐንዲስ,P,,
Pavement Forman,ፔቭመንት ፎርማን,I,,
Pavement/Material Engineer,ፔቭመንት/ቁስ መሐንዲስ,P,,
Paver Operator,የፓቨር ኦፕሬተር,P,,
Payment and Settlement Officer,የክፍያ እና የሰፈራ ኦፊሰር,P,,
Payment and System Administrator,የክፍያ እና የስርዓት አስተዳዳሪ,P,,
Payment Application Officer II,የክፍያ ማመልከቻ መኮንን II,P,,
Payment gateway integrator,የክፍያ ፍኖት መጋጠሚያ,U,,
Payment integration,የክፍያ ውህደት,U,,
Payment Integration | PHP,የክፍያ ውህደት | ፒኤችፒ,U,,
Payment Integration Expert,የክፍያ ውህደት ባለሙያ,P,,
Payroll and Tax Accountant,የደመወዝ እና የታክስ አካውንታንት,P,,
Payroll and Tax Manager,የደመወዝ እና የግብር አስተዳዳሪ,,,
Payroll Specialist,የደመወዝ ክፍያ ባለሙያ,P,,
PBF Data Officer,PBF የውሂብ ኦፊሰር,P,,
PBX Call Center Solution Provider,የጥሪ ማዕከል መፍትሔ አቅራቢ,P,,
PBX Telephony Lead Engineer,የፒቢኤክስ ቴሌፎን መሪ መሐንዲስ,P,,
PC maintenance technician,ፒሲ የጥገና ቴክኒሻን,P,,
PC Service Desk Technician 2,ፒሲ አገልግሎት ዴስክ ቴክኒሻን 2,P,,
Peace building officer,የሰላም ግንባታ መኮንን,P,,
Peace Building Technical Advisor,የሰላም ግንባታ የቴክኒክ አማካሪ,P,,
"Peace, Gender and Social Equity Officer",የሰላም፣ የፆታ እና የማህበራዊ እኩልነት ሀላፊ,P,,
Peacebuilding and Advocacy Officer,የሰላም ግንባታ እና ተሟጋች ኦፊሰር,P,,
Peacebuilding Project Officer,የሰላም ግንባታ ፕሮጀክት ኦፊሰር,P,,
Peachtree and IFRS Trainer,Peachtree እና IFRS አሰልጣኝ,P,,
Peachtree Data inputer/Journalizer,Peachtree ውሂብ ማስገቢያ / ጋዜጠኛ,P,,
Peachtree Expert,Peachtree ኤክስፐርት,P,,
Peanut butter Batchmaker,የኦቾሎኒ ቅቤ Batchmaker,P,,
Pedagogical center coordinator,የፔዳጎጂካል ማእከል አስተባባሪ,P,,
Pedagogical Center Head,የፔዳጎጂካል ማእከል ኃላፊ,P,,
Pedagogical Coordinator,የትምህርት አስተባባሪ,P,,
Pedagogy Center Expert Teacher,የፔዳጎጂ ማእከል ባለሙያ መምህር,P,,
Pedagogy Center Officer,የፔዳጎጂ ማእከል ኦፊሰር,P,,
Pediatric HIV Care and Treatment Clinical Advisor,የሕፃናት የኤችአይቪ እንክብካቤ እና ሕክምና ክሊኒካዊ አማካሪ,,,
pediatrician,የሕፃናት ሐኪም,P,,
Pediatrician Specialist,የሕፃናት ሐኪም ስፔሻሊስት,P,,
Pellet Mill Operator,Pellet Mill ኦፕሬተር,P,,
Pen tester,የብዕር ሞካሪ,U,,
Penetration Tester,የመግባት ሞካሪ,U,,
Penetration tester and cyber security manager,የፔኔትሽን ሞካሪ እና የሳይበር ደህንነት አስተዳዳሪ,U,,
People and Culture Officer,ህዝብ እና ባህል ኃላፊ,P,,
"People and Culture Specialist, Ethiopia",የህዝብ እና የባህል ባለሙያ፣ ኢትዮጵያ,P,,
Percussionist/cajon player,Percussionist / cajon ተጫዋች,P,,
Performance & Disciplinary Management Expert,የአፈጻጸም እና የዲሲፕሊን አስተዳደር ባለሙያ,P,,
Performance & Discipline Management Section Manager,የአፈጻጸም እና የዲሲፕሊን አስተዳደር ክፍል አስተዳዳሪ,P,,
Performance & Visual Art Teachers,የአፈጻጸም እና የእይታ ጥበብ አስተማሪዎች,P,,
Performance and Visual Arts Teacher,የአፈጻጸም እና የእይታ ጥበባት መምህር,P,,
Performance Assessor,የአፈጻጸም ገምጋሚ,P,,
Performance Auditor,የአፈጻጸም ኦዲተር,P,,
Performance Based Financing (PBF) Data Manager,በአፈጻጸም ላይ የተመሰረተ ፋይናንስ (PBF) የውሂብ አስተዳዳሪ,P,,
Performance Based Financing (PBF) Education Verification Officer,በአፈጻጸም ላይ የተመሰረተ ፋይናንስ (PBF) የትምህርት ማረጋገጫ ኦፊሰር,P,,
Performance Based Financing (PBF) Finance Expert,በአፈጻጸም ላይ የተመሰረተ ፋይናንስ (PBF) የፋይናንስ ባለሙያ,P,,
Performance Based Financing (PBF) Project Coordinator,በአፈጻጸም ላይ የተመሰረተ ፋይናንስ (PBF) ፕሮጀክት አስተባባሪ,P,,
Performance Based Financing (PBF) Regional Focal Person,በአፈጻጸም ላይ የተመሰረተ ፋይናንስ (PBF) ክልላዊ የትኩረት ሰው,P,,
Performance Management Division Manager,የአፈጻጸም አስተዳደር ክፍል አስተዳዳሪ,P,,
Performance Management Officer,የአፈጻጸም አስተዳደር ኦፊሰር,P,,
Performance Management Specialist,የአፈጻጸም አስተዳደር ስፔሻሊስት,P,,
Performance Test Lead,የአፈጻጸም ሙከራ መሪ,P,,
Performance Tester/Engineer with Loadrunner Enterprise experience.,የአፈጻጸም ሞካሪ/ኢንጂነር ከሎድሩንነር ኢንተርፕራይዝ ልምድ ጋር,P,,
persian to english translator,ከፋርስ ወደ እንግሊዝኛ ተርጓሚ,P,,
Persinal Assistance,ቋሚ እርዳታ,P,,
Personal body guard,የግል ጠባቂ,U,,
Personal Financial and Work Decision Consultant.,የግል የገንዘብ እና የስራ ውሳኔ አማካሪ,P,,
Personal fitness trainer,የግል የአካል ብቃት አሰልጣኝ,P,,
Personal for an internet and game zone,ለበይነመረብ እና ለጨዋታ ዞን የግል,P,,
Personal for Internet cafe,ለኢንተርኔት ካፌ የግል,P,,
personal franchiser,የግል franchiser,P,,
Personal Laravel Tutor,የግል ላራቬል አስተማሪ,P,,
Personal MERN Stack Tutor,የግል MERN ቁልል አስተማሪ,P,,
Personal Piano Teacher,የግል ፒያኖ መምህር,P,,
Personal research assistant,የግል ምርምር ረዳት,P,,
