informal work in eng,Profession  in Amharic,Professional / Informal,sector,sub sector,Profession in Amharic,professional/ formal
Backend Software,የጀርባ ሶፍትዌር,P,,,,
Backend System Administrator/Magento and CodeIgniter expert/,የጀርባ አሠራር አስተዳዳሪ/ማጌንቶ እና ኮድኢግኒተር ባለሙያ/,P,,,,
Back end Web and app developer,የኋላ መጨረሻ ድር እና መተግበሪያ ገንቢ,P,,,,
Back hoe Loader Operator,የኋላ ሆሄ ጫኝ ኦፕሬተር,P,,,,
Baker,ጋጋሪ,U,,,,
Bakery and Pastry Chef,ዳቦ መጋገሪያ እና ኬክ ሼፍ,P,,,,
Bakery Department Manager,የዳቦ መጋገሪያ ክፍል ሥራ አስኪያጅ,P,,,,
Band for music night,ባንድ ለሙዚቃ ምሽት,P,,,,
Band manager,ባንድ አስተዳዳሪ,P,,,,
Band members,ባንድ አባላት,P,,,,
Bank Accountant,የባንክ አካውንታንት,P,,,,
Bank Account Reconciliation Officer,የባንክ ሂሳብ ማስታረቅ ኦፊሰር,P,,,,
Banking Business Officer I,የባንክ ሥራ ኃላፊ I,P,,,,
Banking Operation Officer,የባንክ ኦፕሬሽን ኦፊሰር,P,,,,
Bank Payment Lead,የባንክ ክፍያ መሪ,P,,,,
Bank Relationship Officer,የባንክ ግንኙነት ኃላፊ,P,,,,
Banks Loans Specialist,የባንክ ብድር ስፔሻሊስት,P,,,,
Bank Trainee,የባንክ ሰልጣኝ,,,,,
Banner designer,ባነር ዲዛይነር,P,,,,
Banner machine operator,ባነር ማሽን ኦፕሬተር,P,,,,
Banquet cook,የድግስ ምግብ ማብሰል,U,,,,
Bar and restaurant manager,ባር እና ምግብ ቤት አስተዳዳሪ,P,,,,
Bar Bender Foreman,ባር ቤንደር ፎርማን,P,,,,
Barber and scalp shampoo massager,ባርበር እና የራስ ቆዳ ሻምፑ ማሳጅ,P,,,,
baresta,ባሬስታ,U,,,,
Barley Supply Chain Manager,የገብስ አቅርቦት ሰንሰለት አስተዳዳሪ,P,,,,
Barman,ባርማን,U,,,,
Barman / barlady,የቡና ቤት አሳላፊ/ተፈተሸ,U,,,,
Base Finance Manager,ቤዝ ፋይናንስ አስተዳዳሪ,P,,,,
Base HR Administrator,ቤዝ የሰው ኃይል አስተዳዳሪ,P,,,,
Base Human Resource Manager,የመሠረት የሰው ሀብት ሥራ አስኪያጅ,P,,,,
Base Logistics Officer,ቤዝ ሎጅስቲክስ ኦፊሰር,P,,,,
Base Logistics & Procurement Coordinator,ቤዝ ሎጅስቲክስ እና ግዥ አስተባባሪ,P,,,,
Base Manager,ቤዝ አስተዳዳሪ,P,,,,
Basic Computer Instructor,መሰረታዊ የኮምፒውተር አስተማሪ,P,,,,
"Basket ball, ground tennis and football coach",የቅርጫት ኳስ፣ የሜዳ ቴኒስ እና የእግር ኳስ አሰልጣኝ,P,,,,
Bass guitarist,ባስ ጊታሪስት,U,,,,
Batching Plant Casting Sight Coordinator,Batching ተክል Casting እይታ አስተባባሪ,P,,,,
Batching Plant Concrete Pump Operator,Batching ተክል ኮንክሪት ፓምፕ ኦፕሬተር,P,,,,
Batching Plant Forman,ባቲንግ ተክል ፎርማን,P,,,,
Batching Plant Manager,የ Batching ተክል አስተዳዳሪ,P,,,,
Batching Plant Mechanic,ባቲንግ ተክል መካኒክ,P,,,,
Batching Plant Operator,Batching ተክል ኦፕሬተር,P,,,,
Batching Plant Operator and Mechanic,ባቲንግ ተክል ኦፕሬተር እና መካኒክ,P,,,,
Batching Plant Production Coordinator,የ Batching ተክል ምርት አስተባባሪ,P,,,,
Bazeto visual effects Train and Hire Program,ባዜቶ የእይታ ውጤቶች ባቡር እና የኪራይ ፕሮግራም,U,,,,
BCC Officer,የቢሲሲ ኦፊሰር,P,,,,
ወጣት ብስክሌተኛ (Bcyle guy),ወጣት ብስክሌተኛ (ቢሳይል ሰው),I,,,,
BD Agent,የBD ወኪል,U,,,,
Beat Maker ( trap..drill..hip hop beat maker),ቢት ሰሪ ( ወጥመድ.. መሰርሰሪያ.. የሂፕ ሆፕ ምት ሰሪ),U,,,,
Beauty Advisor,የውበት አማካሪ,P,,,,
Beauty & Fashion Host,የውበት እና ፋሽን አስተናጋጅ,P,,,,
Beauty Salon General Manager,የውበት ሳሎን ዋና ሥራ አስኪያጅ,P,,,,
Beauty Vlogger,የውበት Vlogger,U,,,,
Bee Farm Officer,የንብ እርሻ መኮንን,P,,,,
Beekeeper,ንብ አናቢ,I,,,,
Beer Production Operator,የቢራ ምርት ኦፕሬተር,P,,,,
Begena trainer,የበገና አሰልጣኝ,P,,,,
Beginner Customer Service Officer,ጀማሪ የደንበኞች አገልግሎት ኦፊሰር,P,,,,
Beginner graphics designer & secretary,ጀማሪ ግራፊክስ ዲዛይነር እና ጸሐፊ,P,,,,
Behavior Change Communications Officer (BCC Officer),የባህሪ ለውጥ ኮሙኒኬሽን ኦፊሰር (ቢሲሲ ኦፊሰር),P,,,,
Belen Language Translator,የብሌን ቋንቋ ተርጓሚ,P,,,,
Bell Boy / Porter,ቤል ልጅ / ፖርተር,P,,,,
Bell Captain,ቤል ካፒቴን,P,,,,
Benefits and Employee Affairs Officer,ጥቅማ ጥቅሞች እና የሰራተኛ ጉዳይ ኃላፊ,P,,,,
Bentley Software Trainer,Bentley ሶፍትዌር አሰልጣኝ,P,,,,
"Best Practice, Stories and Video Documentary Production and Photography Service",ምርጥ ልምምድ፣ ታሪኮች እና ቪዲዮ ዶክመንተሪ ፕሮዳክሽን እና የፎቶግራፍ አገልግሎት,P,,,,
Beta testers for our app,ለመተግበሪያችን የቅድመ-ይሁንታ ሞካሪዎች,P,,,,
Bettaa Design and Print,Bettaa ንድፍ እና ማተም,U,,,,
Betting app,ውርርድ መተግበሪያ,P,,,,
የቤቲንግ ቤት ትኬት ቆራጭ (Betting Cashier),የቤቲንግ ቤት ትኬት ቆራጭ (የውርርድ ገንዘብ ተቀባይ),P,,,,
Betting Operator and Mobile Money Operator,ውርርድ ኦፕሬተር እና የሞባይል ገንዘብ ኦፕሬተር,P,,,,
Betting website developer,ውርርድ ድር ጣቢያ ገንቢ,P,,,,
BGHWS Creative Art Center Assistance officer,BGHWS የፈጠራ ጥበብ ማዕከል እርዳታ መኮንን,P,,,,
Bid/Contract Engineer,ጨረታ / ውል መሐንዲስ,P,,,,
Bid Document Officer,የጨረታ ሰነድ ኦፊሰር,P,,,,
Bid Document Preparation Expert,የጨረታ ሰነድ ዝግጅት ባለሙያ,P,,,,
Bid Document Writer,የጨረታ ሰነድ ጸሐፊ,P,,,,
Bid Personnel officer,የጨረታ ፐርሶኔል ኦፊሰር,P,,,,
BILLING AND COLLECTION OFFICER,የሂሳብ አከፋፈል እና አሰባሰብ ኦፊሰር,P,,,,
Billing Clerk/ Account Receivable/,የሂሳብ አከፋፈል ፀሐፊ/የሂሳብ ደረሰኝ/,P,,,,
Billing & Collection Officer,የሂሳብ አከፋፈል እና አሰባሰብ ኦፊሰር,P,,,,
Bill of Quantity Specialist for Interior Design Projects,ለቤት ውስጥ ዲዛይን ፕሮጄክቶች የሂሳብ መጠየቂያ ልዩ ባለሙያ,P,,,,
Bilogy and Chemistry Laboratory Technician,የባዮሎጂ እና ኬሚስትሪ የላቦራቶሪ ቴክኒሻን,P,,,,
BIM (Building Information Modelling),BIM (የህንፃ መረጃ ሞዴሊንግ),P,,,,
Bim modeler and graphics designer,ቢም ሞዴል እና ግራፊክስ ዲዛይነር,P,,,,
Biochemistry,ባዮኬሚስትሪ,P,,,,
Biodiversity Officer (BO),የብዝሃ ህይወት ኦፊሰር (BO),P,,,,
Bio gas technical expert,የባዮ ጋዝ ቴክኒካል ባለሙያ,P,,,,
Biology Laboratory Technician,የባዮሎጂ ላብራቶሪ ቴክኒሻን,P,,,,
Biomedical/Chemical Engineer,ባዮሜዲካል/ኬሚካል መሐንዲስ,P,,,,
Bio medical Engineer,ባዮ ሜዲካል ኢንጂነር,P,,,,
Biomedical science mentor/Teacher,የባዮሜዲካል ሳይንስ አማካሪ/መምህር,P,,,,
Biomedical Senior Technician,ባዮሜዲካል ሲኒየር ቴክኒሻን,P,,,,
Biotech and Pharmaceutical,ባዮቴክ እና ፋርማሲዩቲካል,P,,,,
Biotechnology,ባዮቴክኖሎጂ,P,,,,
Bistro Supervisor,ቢስትሮ ሱፐርቫይዘር,P,,,,
Blender Artist,Blender አርቲስት,P,,,,
Blender Modelling Artists,Blender ሞዴሊንግ አርቲስቶች,P,,,,
Blockchain app and web developer,Blockchain መተግበሪያ እና የድር ገንቢ,P,,,,
Block chain Developer,ሰንሰለት አግድ ገንቢ,P,,,,
Blockchain Developer,Blockchain ገንቢ,P,,,,
Blockchain Development (solidity),የብሎክቼይን ልማት (ጠንካራነት),P,,,,
Blocking & Plastering Subcontractors,ንዑስ ተቋራጮችን ማገድ እና ፕላስተር ማድረግ,U,,,,
Blog article and Copywriter,የብሎግ ጽሑፍ እና ቅጂ ጸሐፊ,P,,,,
Blowing and Filler Machine Operator,የንፋስ እና የመሙያ ማሽን ኦፕሬተር,P,,,,
Blowing Operator Mechanic,የንፋስ ኦፕሬተር መካኒክ,P,,,,
Blow Molding Operator,ንፉ የሚቀርጸው ኦፕሬተር,P,,,,
Blow Mold Operator,ንፉ ሻጋታ ኦፕሬተር,P,,,,
BO-AMS Engineer,BO-AMS መሐንዲስ,P,,,,
Board/ Association Secretary,የቦርድ/ማህበር ፀሀፊ,P,,,,
Bodygard,ቦዲጋርድ,U,,,,
Boiler and Air Compressor operator or Assistant boiler and air compressor operator,ቦይለር እና የአየር መጭመቂያ ኦፕሬተር ወይም ረዳት ቦይለር እና የአየር መጭመቂያ ኦፕሬተር,p,,,,
Boiler operater technician,የቦይለር ኦፕሬተር ቴክኒሻን,p,,,,
BO-IMS Engineer,BO-IMS መሐንዲስ,p,,,,
Bonded Ware House Supervisor,ቦንድ ዌር ሃውስ ተቆጣጣሪ,p,,,,
Book and reservation and ticketing agent,ቦታ ማስያዝ እና የቲኬት ወኪል,p,,,,
Book Cover and Book InDesign professional,መጽሐፍ ሽፋን እና መጽሐፍ InDesign ባለሙያ,p,,,,
Book publisher,መጽሐፍ አሳታሚ,p,,,,
Book store sales and management,የመጽሐፍ መደብር ሽያጭ እና አስተዳደር,p,,,,
Book translation from english to amharic,የመጽሐፍ ትርጉም ከእንግሊዝኛ ወደ አማርኛ,p,,,,
Bookworm,የመጽሐፍ ትል,p,,,,
Boom Lift/ Scissor operator CET project,Boom Lift/ Scissor ከዋኝ CET ፕሮጀክት,,,,,
Bord control,የቦርድ ቁጥጥር,p,,,,
Bot development,የቦት ልማት,p,,,,
Bottled Water Plant Manager,የታሸገ ውሃ ተክል አስተዳዳሪ,p,,,,
Bottled Water Technical Manager,የታሸገ ውሃ ቴክኒካል አስተዳዳሪ,p,,,,
Branch Manager “D” for Kirkos Branch,ለቂርቆስ ቅርንጫፍ የቅርንጫፍ አስተዳዳሪ “ዲ”,p,,,,
Branch Operation Manager,የቅርንጫፍ ኦፕሬሽን ሥራ አስኪያጅ,p,,,,
Branch Operation Supervisor,የቅርንጫፍ ኦፕሬሽን ተቆጣጣሪ,p,,,,
Branch Sales & Customer Service Officer,የቅርንጫፍ ሽያጭ እና የደንበኞች አገልግሎት ኦፊሰር,p,,,,
Brand Ambassador/ Brand Promoter,የምርት አምባሳደር/ የምርት ስም አራማጅ,p,,,,
Brand Ambassador for hotel,ለሆቴል የምርት ስም አምባሳደር,p,,,,
Brand ambassadors,የምርት አምባሳደሮች,p,,,,
Brand Book creator / Graphics designer,የምርት መጽሐፍ ፈጣሪ / ግራፊክስ ዲዛይነር,p,,,,
Brand Identity Designer,የምርት መለያ ንድፍ አውጪ,p,,,,
Branding agency consultant,የምርት ስም ኤጀንሲ አማካሪ,p,,,,
Branding and Promotion Manager,የምርት ስም እና የማስተዋወቂያ ስራ አስኪያጅ,p,,,,
Branding and Talent Attraction Executive,የምርት ስም እና የተሰጥኦ መስህብ ሥራ አስፈፃሚ,p,,,,
Branding Design for our Printing Company,ብራንዲንግ ዲዛይን ለህትመት ድርጅታችን,p,,,,
BRANDING Development Officer,የምርት ስም ልማት ኦፊሰር,p,,,,
Brand logo design for webpage,የምርት አርማ ንድፍ ለድረ-ገጽ,p,,,,
Brand Strategist,የምርት ስትራቴጂስት,p,,,,
Brand Studio Lead,የምርት ስቱዲዮ መሪ,p,,,,
Break Free Project Officer,ነፃ የፕሮጀክት ኦፊሰርን ይሰብሩ,p,,,,
Brewing Operator,ጠመቃ ኦፕሬተር,p,,,,
BROADCAST TECHNOLOGY TECHNICIAN,የብሮድካስት ቴክኖሎጂ ቴክኒሻን,p,,,,
Brochure Design,የብሮሹር ንድፍ,p,,,,
Broker or land owner,ደላላ ወይም የመሬት ባለቤት,p,,,,
Broschore distribution,Broschore ስርጭት,p,,,,
Browser Automation For Data Entry,ብሮውዘር አውቶሜሽን ለውሂብ ግቤት,p,,,,
Bsc nursing or public health officer,Bsc ነርሲንግ ወይም የህዝብ ጤና መኮንን,p,,,,
Budget and Cost Accountant,በጀት እና ወጪ አካውንታንት,p,,,,
Budget and Document Management Specialist,የበጀት እና የሰነድ አስተዳደር ስፔሻሊስት,p,,,,
Budget and Inventory Head,የበጀት እና የእቃ ዝርዝር ኃላፊ,p,,,,
Budget Development Specialist,የበጀት ልማት ባለሙያ,p,,,,
Budget Division Manager,የበጀት ክፍል አስተዳዳሪ,p,,,,
Budget & Grant Finance Manager,የበጀት እና የስጦታ ፋይናንስ ሥራ አስኪያጅ,p,,,,
Budgeting and Reporting Coordinator,የበጀት እና ሪፖርት አቀራረብ አስተባባሪ,p,,,,
Building/Account Manager,የግንባታ / መለያ አስተዳዳሪ,p,,,,
Building admin assistant & Sells,የግንባታ አስተዳዳሪ ረዳት እና ሽያጮች,p,,,,
Building a Video Streaming Service Using Bubble.io,Bubble.io በመጠቀም የቪዲዮ ዥረት አገልግሎት መገንባት,p,,,,
Building Electrician (General Maintenance),የሕንፃ ኤሌክትሪክ ባለሙያ (አጠቃላይ ጥገና),p,,,,
Building fire system technician,የግንባታ የእሳት አደጋ ስርዓት ቴክኒሻን,p,,,,
Building General Foreman,አጠቃላይ ፎርማን ግንባታ,p,,,,
Building Projects Manager,የግንባታ ፕሮጀክቶች ሥራ አስኪያጅ,p,,,,
Building Senior Structural Engineer,ከፍተኛ መዋቅራዊ መሐንዲስ መገንባት,p,,,,
Burgur and Pizza Waiter and Assistant Shef,ቡርጉር እና ፒዛ አስተናጋጅ እና ረዳት ሼፍ,p,,,,
Bus Driver / Debre Birhan- Cheki,የአውቶቡስ ሹፌር,p,,,,
Business account sales executive,የንግድ መለያ ሽያጭ አስፈፃሚ,p,,,,
Business Administration Lecturer,የንግድ አስተዳደር መምህር,p,,,,
Business Advisor,የንግድ አማካሪ,p,,,,
Business Advisor 2,የንግድ ሥራ አማካሪ 2,,,,,
Business Analysis Officer for Addis Ababa,የአዲስ አበባ የቢዝነስ ትንተና ኦፊሰር,p,,,,
Business card and flyer distributor for a business,ለንግድ ስራ የቢዝነስ ካርድ እና በራሪ ወረቀት አከፋፋይ,u,,,,
Business card designer,የንግድ ካርድ ዲዛይነር,p,,,,
Business Communication Instructor,የንግድ ግንኙነት አስተማሪ,p,,,,
Business communication Officer.,የንግድ ግንኙነት ኦፊሰር.,p,,,,
Business Desk Agent,የንግድ ዴስክ ወኪል,p,,,,
Business developer,የንግድ ገንቢ,,,,,
Business development and Marketing manager,የንግድ ልማት እና የግብይት ሥራ አስኪያጅ,p,,,,
Business Development and Project Planning Expert,የንግድ ልማት እና የፕሮጀክት እቅድ ባለሙያ,p,,,,
Business Development|Project Manager (Hybrid Role),የንግድ ልማት|የፕሮጀክት አስተዳዳሪ (ድብልቅ ሚና),p,,,,
Business Development Representative,የንግድ ልማት ተወካይ,p,,,,
Business Development & Research Expert,የንግድ ልማት እና የምርምር ባለሙያ,p,,,,
Business Development Service (BDS) Specialist,የንግድ ልማት አገልግሎት (BDS) ስፔሻሊስት,p,,,,
Business Development Service Expert (Junior Consultant),የንግድ ልማት አገልግሎት ኤክስፐርት (ጁኒየር አማካሪ),p,,,,
Business Development Services (BDS) Officer,የንግድ ልማት አገልግሎቶች (BDS) ኦፊሰር,p,,,,
Business Insight Analyst (Data Analyst),የቢዝነስ ኢንሳይት ተንታኝ (መረጃ ተንታኝ),p,,,,
Business Operations and Website Development Internship/Mentorship,የንግድ ስራዎች እና የድርጣቢያ ልማት ልምምድ / አማካሪ,p,,,,
Business Pitch Deck Presenter,የንግድ ፒች ዴክ አቅራቢ,p,,,,
Business Plan for a Ride share App,የንግድ እቅድ ለ Ride መጋራት መተግበሪያ,p,,,,
Business Plan & Proposal Writer,የንግድ እቅድ እና ፕሮፖዛል ጸሐፊ,p,,,,
Business Processing outsource (BPO) expert,የንግድ ሥራ ማስኬጃ የውጭ ምንጭ (BPO) ባለሙያ,p,,,,
Business Program Manager,የንግድ ፕሮግራም አስተዳዳሪ,p,,,,
Business Reporter – English,የንግድ ዘጋቢ - እንግሊዝኛ,p,,,,
Business Software,የንግድ ሶፍትዌር,p,,,,
Business Teachers for Secondary school,ለሁለተኛ ደረጃ ትምህርት ቤት የንግድ አስተማሪዎች,p,,,,
Bus ticket officer and customer support,የአውቶቡስ ትኬት መኮንን እና የደንበኛ ድጋፍ,p,,,,
"Butchers, Fishmongers and Related Food Preparers",ስጋ ቤቶች፣ አሳ ነጋዴዎች እና ተዛማጅ ምግብ አዘጋጆች,p,,,,
Butchery,ሥጋ ቤት,,,,,
cable installer,የኬብል መጫኛ,p,,,,
CAD and CAM Designer,CAD እና CAM ዲዛይነር,p,,,,
CAD Designer and CNC operator,CAD ዲዛይነር እና የ CNC ኦፕሬተር,p,,,,
CAD designer for CNC machine,CAD ዲዛይነር ለ CNC ማሽን,p,,,,
Cad Drawing Cam working Macbine operator,Cad Drawing Cam Macbine ኦፕሬተርን ይሰራል,p,,,,
የካፌ ሰራተኛ እና ጠቅላላ አገልግሎት / Cafe & Coffee House Personnel,የካፌ ሰራተኛ እና ጠቅላላ አገልግሎት / ካፌ እና ቡና ቤት ሰራተኞች,p,,,,
Café / Dietary Head,ካፌ / የአመጋገብ ኃላፊ,p,,,,
cafe waitress,ካፌ አስተናጋጅ,p,,,,
Cajon or percession player,Cajon ወይም የሚታክት ተጫዋች,u,,,,
Call Center/Account agent,የጥሪ ማዕከል/መለያ ወኪል,p,,,,
